Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abbie-Jane,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Abbie-Lea,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Abbielee,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abbie-Lee,-,-,-,-,-,-,-,..,-,3,..,..,..,-,-,-,-,-,-,-
Abbie-Leigh,..,-,-,-,..,-,..,-,-,-,-,-,-,..,-,-,..,..,-,..
Abbie-Louise,..,-,..,-,..,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-
Abbie-Mae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Abbiemarie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abbie-Marie,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbie-may,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abbie-Raya,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Abbierose,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abbie-Rose,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,3
Abbigail,-,-,-,-,-,..,..,..,-,..,..,..,-,..,..,..,..,-,..,..
Abbigail-kate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abbigale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abbigayle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abbi-Louise,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Abbrihanna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abby,10,7,10,11,16,20,33,24,17,9,12,16,12,11,7,8,11,11,..,3
Abbygail,-,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbyrose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abby-Shirelle,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Abeeha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Abegail,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Abella,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-
Abena,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abeni,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abernathy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Abgeena,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abha,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,..,-,-,-
Abhainn,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abhaya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Abhipri,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Abhirami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abi,-,-,-,..,-,..,3,16,22,22,10,30,19,12,11,5,10,5,8,4
Abia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abiagael,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abiageal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,..,..
Abiah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Abie,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abie-Jade,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Abigael,-,-,-,-,-,-,..,-,..,..,..,..,-,-,-,..,..,..,..,-
Abigail,36,30,26,36,40,47,56,62,76,57,75,86,77,65,68,49,52,49,73,51
Abi-Gail,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Abigaile,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,..,-,-,-,-
Abigail-Faith,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Abigail-Robin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Abigail-Shavanna,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Abigale,-,-,-,-,-,-,..,-,..,..,..,-,-,..,-,-,-,-,-,-
Abigayl,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abigayle,..,-,-,-,-,-,-,-,..,..,-,-,..,..,..,-,-,-,-,-
Abigeal,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,-,-,..
Abigel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-
Abi-Grace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abi-jane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abi-jo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abi-Lee,-,-,-,-,-,-,..,..,-,..,-,-,-,-,-,-,-,-,-,-
Abi-Leigh,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-,-,-
Abi-Louise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Abi-Mae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Abi-Nicole,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Abiodun,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Abi-Rose,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-
Abi-scarlett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abiya,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abony,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abrar,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
